,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
14,15,0.38817599999999997,571.9759696632456,414.0678455133754,0.7380516234902179,0.6831398606371043,0.47926196065400434,2.525880517890354,254.0,254.0,254.0,198.39610898149294,198.39610898149294,198.39610898149294,0.0,0.0,0.0
15,16,0.287568,660.1506148111056,300.3405664051633,0.6562540221316104,0.5662400272154233,0.7737899475070363,2.1647434329005066,254.0,254.0,254.0,180.37406109163746,180.37411673065154,180.37411673065154,0.0,0.0,0.0
16,17,0.307872,447.63236669784845,747.1150608044902,0.6822373405149992,0.5863900238419064,-0.8457930292081312,2.323606347910659,254.0,254.0,254.0,203.06911963413367,203.06911963413367,203.06911963413367,0.0,0.0,0.0
17,18,0.15995199999999998,530.6228868660598,606.9164749424828,0.49203009140339254,0.4250241469846941,0.0038924076772747056,1.585096679918781,254.0,254.0,254.0,207.07202160648194,207.07202160648194,207.07202160648194,0.0,0.0,0.0
18,19,0.153616,762.3216331632121,396.32496614935945,0.48068718666520943,0.40970812990536676,-0.8523919462651991,1.5833910524340096,254.0,254.0,254.0,173.2002916362879,173.2002916362879,173.2002916362879,0.0,0.0,0.0
19,20,0.22614399999999998,740.4678081222584,521.1176595443611,0.548870141447066,0.5387832960892665,-0.23996056292635903,1.9200571413994914,254.0,254.0,254.0,192.67744446016698,192.67744446016698,192.67744446016698,0.0,0.0,0.0
20,21,0.138336,848.6914179967615,480.25133009484153,0.5264252075855705,0.3454460355433062,0.6946244376711529,1.6208124086713187,254.0,254.0,254.0,185.61080268332177,185.61080268332177,185.61080268332177,0.0,0.0,0.0
21,22,0.21897599999999998,860.0623264650008,267.3330410638609,0.5890087359474039,0.48644603042184187,1.2199590300924954,1.979841845922842,254.0,254.0,254.0,174.63941253836038,174.63941253836038,174.63941253836038,0.0,0.0,0.0
22,23,0.153728,875.544442131557,397.88884263114073,0.5332998380149503,0.390047906320384,1.0520820272299947,1.6797930726875627,254.0,254.0,254.0,190.13499167360533,190.13499167360533,190.13499167360533,0.0,0.0,0.0
23,24,0.34328,839.6220461430902,101.85061757166162,0.7043638586786583,0.6311683256097178,-1.2034032865082547,2.4913708498984763,254.0,254.0,254.0,172.568352365416,172.568352365416,172.568352365416,0.0,0.0,0.0
24,25,0.183664,582.3997734994338,1095.0828469378866,0.5277278669117264,0.4490369210634052,0.6355347527040583,1.7489789309126893,254.0,254.0,254.0,197.44725150274414,197.44725150274414,197.44725150274414,0.0,0.0,0.0
25,26,0.152368,680.9829885540271,1046.4667646749974,0.4912746537662609,0.40480165166178467,0.16569741121591972,1.627606347910659,254.0,254.0,254.0,186.3482095978158,186.3482095978158,186.3482095978158,0.0,0.0,0.0
