,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
15,16,0.054464,277.02937720329027,247.83166862514688,0.381074173284308,0.18464859342721127,-0.11553079385961265,0.9618721497261418,155.0,155.0,155.0,98.88190364277321,98.88190364277321,98.88190364277321,37.0,37.0,37.0
16,17,0.1948,368.6575770020534,442.16969199178646,0.5316998807965375,0.49493834834041267,-1.540219814736295,1.772479364188578,197.0,197.0,197.0,126.81248459958933,126.81248459958933,126.81248459958933,32.0,32.0,32.0
17,18,0.06956799999999999,227.85073597056117,615.5,0.3317715921438413,0.27973822850557706,-0.06990516871868653,1.0398620484583754,187.0,187.0,187.0,123.14420423183073,123.14420423183073,123.14420423183073,57.0,57.0,57.0
18,19,0.109632,190.1355808523059,1142.0502043199067,0.41467266644676587,0.34395253531198766,-0.5278672644469758,1.2802640687119284,177.0,177.0,177.0,116.0334208990076,116.0334208990076,116.0334208990076,45.0,45.0,45.0
19,20,0.19024,478.99520605550885,1218.7820016820858,0.5923481395970652,0.4154185083674938,-0.8645686365710116,1.714940258945177,172.0,172.0,172.0,103.22842724978975,103.22842724978975,103.22842724978975,35.0,35.0,35.0
20,21,0.403088,891.0864525860358,807.4020958202675,0.8512669267146347,0.6245155855559409,-1.532423734504842,2.522704760932994,175.0,175.0,175.0,112.27829158893343,112.27829158893343,112.27829158893343,37.0,37.0,37.0
21,22,0.436944,891.4826980116445,1040.7465670658025,0.9773967834492033,0.602993229762021,-1.437165325049302,2.923037805415735,180.0,180.0,180.0,109.05587901424438,109.05587901424438,109.05587901424438,32.0,32.0,32.0
22,23,0.849312,800.0740552352963,311.19969104404504,1.5253945985561013,0.7482419154244914,-0.8912544979762087,4.059094946815227,170.0,170.0,170.0,102.27775893900004,102.27775893900004,102.27775893900004,10.0,10.0,10.0
23,24,0.18103999999999998,607.1720724701723,93.31957578435704,0.5312362858848235,0.44096133045132274,-1.4826573539449963,1.6351067811865474,170.0,170.0,170.0,103.36650463985859,103.36650463985859,103.36650463985859,37.0,37.0,37.0
24,25,0.089264,510.599032084603,145.70532353468363,0.38914172953178616,0.30028719701990836,0.3542020080221459,1.1557442994522837,172.0,172.0,172.0,104.62179602079226,104.62179602079226,104.62179602079226,35.0,35.0,35.0
